cleanstop_name,Total Avg. Ons,Total Avg. Offs,Overall Mean Avg. Ons,Overall Mean Avg. Offs,stop_lat,stop_lon
AbbottDrOpp,0.5,0.357142857142857,0.5,0.357142857142857,39.960287,-75.335847
AbbottDrSussexBlvd,2.83333333333333,0.285714285714286,1.416666666666665,0.142857142857143,39.959103,-75.340501
AcademyRdGrantAvFS,1.925,0.0,0.9625,0.0,40.069027,-75.007883
AcademyRdOutlookAv,0.235294117647059,0.235294117647059,0.235294117647059,0.235294117647059,40.059875,-75.009403
AdamsRdAdamsCr,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,40.108736,-74.923006
AdamsRdByberryRd,0.0,0.222222222222222,0.0,0.222222222222222,40.110117,-74.926665
AdamsRdFordRdFS,0.0,0.0,0.0,0.0,40.106406,-74.920679
AirportRdAmericanBlvdFS,0.0588235294117647,0.176470588235294,0.0588235294117647,0.176470588235294,39.99341,-75.57753
AlanWoodRdRidgePkMBNS,0.2,0.0,0.2,0.0,40.10056,-75.301783
AlgonAvBorbeckAvFS,0.0,0.0,0.0,0.0,40.063041,-75.06605
AlgonAvHellermanSt,3.84893267651888,2.63300492610838,1.92446633825944,1.31650246305419,40.044852500000005,-75.083766
AlgonAvLevickSt,0.0689655172413793,0.310344827586207,0.0689655172413793,0.310344827586207,40.043896,-75.085042
AlgonAvLevickStFS,0.0,0.0238095238095238,0.0,0.0238095238095238,40.043869,-75.084865
AlgonAvMageeAv,0.738095238095238,1.0,0.738095238095238,1.0,40.045915,-75.082348
AlgonAvMageeAvFS,0.103448275862069,0.241379310344828,0.103448275862069,0.241379310344828,40.045951,-75.08249
AlleghenyAvASt,0.0526315789473684,0.125,0.0263157894736842,0.0625,39.998344,-75.127245
AlleghenyAvAlmondSt,0.105263157894737,0.0,0.0526315789473685,0.0,39.985522,-75.103611
AlleghenyAvAmberSt,0.6875,1.5,0.6875,1.5,39.99216,-75.109678
AlleghenyAvAramingoAv,0.730263157894737,0.0,0.3651315789473685,0.0,39.988501,-75.106244
AlleghenyAvBSt,1.6776315789473684,0.125,0.8388157894736842,0.0625,39.998098,-75.125273
AlleghenyAvBathSt,0.352941176470588,0.117647058823529,0.352941176470588,0.117647058823529,39.980933,-75.099568
AlleghenyAvBelgradeSt,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,39.986264,-75.104258
AlleghenyAvCSt,0.5,0.2,0.5,0.2,39.997798,-75.123112
AlleghenyAvCollinsSt,0.0,0.0,0.0,0.0,39.99165,-75.109042
AlleghenyAvDSt,0.0,0.0,0.0,0.0,39.997562,-75.121163
AlleghenyAvESt,1.85,0.4,1.85,0.4,39.997316,-75.119226
AlleghenyAvFSt,0.25,0.15,0.25,0.15,39.99707,-75.117301
AlleghenyAvGlenwoodAvFS,1.532894736842105,0.210526315789474,0.7664473684210525,0.105263157894737,40.001006,-75.143459
AlleghenyAvJasperSt,0.8,0.25,0.8,0.25,39.995156,-75.11211
AlleghenyAvKensingtonAv,0.7,0.1,0.7,0.1,39.996453,-75.113263
AlleghenyAvMascherSt,0.0625,0.1875,0.0625,0.1875,39.998747,-75.131403
AlleghenyAvNapaSt,0.5,0.0,0.5,0.0,40.005145,-75.179936
AlleghenyAvRidgeAvFS,1.666666666666663,2.5555555555555562,0.8333333333333315,1.2777777777777781,40.005998,-75.187496
AlleghenyAvThompsonSt,0.0,0.75,0.0,0.75,39.984762,-75.103142
AlleghenyAvndSt,3.75,0.375,1.875,0.1875,40.002221500000005,-75.1573465
AlleghenyAvrdSt,1.375,0.0,1.375,0.0,40.005544,-75.183231
AlleghenyAvthSt,5.547665118679051,2.208612831097352,0.5043331926071865,0.2007829846452138,40.00328972727272,-75.16598963636363
AlleghenyStationBSL,0.367647058823529,0.0588235294117647,0.1838235294117645,0.02941176470588235,40.001589,-75.152828
AlleghenyStationMFL,1.279411764705882,0.25,0.639705882352941,0.125,39.996534,-75.113499
AllendaleRdCrossfieldRd,0.7538461538461539,0.153846153846154,0.37692307692307697,0.076923076923077,40.095952,-75.391175
AllendaleRdrdAv,0.04,0.0,0.04,0.0,40.101532,-75.398059
AllendaleRdrdAvFS,0.5,0.125,0.25,0.0625,40.101229,-75.39806
AllendaleRdstAvMBFS,1.0,0.45,1.0,0.45,40.099157,-75.395126
AmericanStBerksSt,0.115384615384615,0.192307692307692,0.115384615384615,0.192307692307692,39.979227,-75.138714
AmericanStCecilBMooreAv,1.0,0.692307692307692,1.0,0.692307692307692,39.976247,-75.139364
AmericanStCumberlandSt,0.08,0.24,0.04,0.12,39.988473,-75.13682750000001
AmericanStDauphinSt,0.115384615384615,1.23076923076923,0.115384615384615,1.23076923076923,39.985391,-75.137389
AmericanStDiamondSt,0.615384615384615,1.0,0.615384615384615,1.0,39.982215,-75.138076
