cleanstop_name,Total Avg. Ons,Total Avg. Offs,Overall Mean Avg. Ons,Overall Mean Avg. Offs,stop_lat,stop_lon
AbbottDrOpp,0.0,0.333333333333333,0.0,0.333333333333333,39.960287,-75.335847
AbbottsfordAvFoxSt,0.1,0.1,0.1,0.1,40.014236,-75.178178
AbbottsfordAvHenryAvFS,1.0,0.272727272727273,1.0,0.272727272727273,40.011655,-75.18191
AbbottsfordAvHenryAvMBFS,0.3,0.0,0.3,0.0,40.012865,-75.180145
AcademyRdAmityRd,0.0,0.3,0.0,0.15,40.0833015,-74.991656
AcademyRdAvalonSt,0.0,0.27692307692307694,0.0,0.09230769230769231,40.075811,-75.00093466666668
AcademyRdAvalonStMBFS,0.0,0.0,0.0,0.0,40.077229,-74.99966
AcademyRdBandonDr,0.6940170940170937,1.4408119658119658,0.17350427350427342,0.36020299145299145,40.0936265,-74.96736
AcademyRdBiscayneDr,0.0,0.25,0.0,0.125,40.092355,-74.96638
AcademyRdBiscayneDrFS,0.0,0.611111111111111,0.0,0.3055555555555555,40.092533,-74.966178
AcademyRdBrandonRd,0.0,0.0,0.0,0.0,40.091896,-74.982487
AcademyRdByberryRd,0.0,0.0,0.0,0.0,40.09606133333333,-74.976765
AcademyRdChalfontDrMBNS,0.0,0.0,0.0,0.0,40.085338,-74.988218
AcademyRdComlyRdFS,0.25,0.5,0.25,0.5,40.090098,-74.983894
AcademyRdComlyRdMBFS,0.8205128205128209,0.0,0.20512820512820523,0.0,40.0877675,-74.9861095
AcademyRdComlyRdMBNS,1.5,0.25,1.5,0.25,40.088381,-74.985396
AcademyRdConventAv,1.05555555555556,0.692307692307692,0.35185185185185336,0.23076923076923064,40.062624666666665,-75.00953700000001
AcademyRdCromwellRd,0.486111111111111,0.854166666666667,0.2430555555555555,0.4270833333333335,40.080884,-74.995829
AcademyRdEdenSt,0.70940170940171,0.606837606837607,0.354700854700855,0.3034188034188035,40.0650115,-75.009474
AcademyRdFairdaleRd,0.0,0.0,0.0,0.0,40.094871,-74.978256
AcademyRdFairdaleRdFS,0.0,0.0,0.0,0.0,40.09497,-74.978527
AcademyRdGlennSt,0.0,0.0,0.0,0.0,40.07434766666666,-75.00202366666667
AcademyRdGrantAvMBFS,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,40.070046,-75.00563
AcademyRdGrantAvMBNS,0.0,0.230769230769231,0.0,0.230769230769231,40.070403,-75.005497
AcademyRdHolmeAv,1.33333333333333,1.66666666666667,1.33333333333333,1.66666666666667,40.0579,-75.008835
AcademyRdHolmeAvFS,0.1,0.0,0.05,0.0,40.058132,-75.008763
AcademyRdHolyokeRd,1.307692307692308,0.461538461538462,0.653846153846154,0.230769230769231,40.0673975,-75.00888599999999
AcademyRdMedfordRd,0.0,0.947222222222222,0.0,0.31574074074074066,40.09651,-74.97574100000001
AcademyRdMorrellAv,0.0,0.27692307692307694,0.0,0.13846153846153847,40.078555,-74.998529
AcademyRdMorrellAvFS,0.0,0.181818181818182,0.0,0.181818181818182,40.07844,-74.999002
AcademyRdMorrellAvMBFS,0.0833333333333333,0.0,0.0833333333333333,0.0,40.07731,-74.99992
AcademyRdNantonDr,0.7076923076923081,1.852777777777778,0.17692307692307702,0.4631944444444445,40.0947915,-74.968719
AcademyRdNewberryRd,0.0,0.0769230769230769,0.0,0.03846153846153845,40.092081,-74.981882
